Feature,Importance
bmi,0.27303270197237567
age,0.15391315200495984
income,0.11455628062333634
education,0.08507428150495741
genHlth,0.07731250228104135
highBP,0.05171343676334071
fruits,0.02900291054122736
smoker,0.028602399099628625
diffWalk,0.027313280913577993
highChol,0.026590693093958766
sex,0.023058403417168007
veggies,0.022837242300268606
physActivity,0.019697072339012033
heartDiseaseorAttack,0.017204564285924755
noDocbcCost,0.0167417803436025
stroke,0.01200873545005549
anyHealthcare,0.009861401353559316
hvyAlcoholConsump,0.007282274994883791
cholCheck,0.004196886717121267
