Feature,Importance
bmi,0.2282108486724349
age,0.14590136318069555
income,0.10116640851739157
genHlth,0.09780773451134102
highBP,0.08484747003352691
education,0.07398937424813806
highChol,0.04423118510280435
diffWalk,0.03481489501390386
fruits,0.02779127860115783
smoker,0.02755507671783121
sex,0.021979063337968882
veggies,0.021182012667052632
physActivity,0.01996779730383681
heartDiseaseorAttack,0.01914662561306046
noDocbcCost,0.014773941181514948
stroke,0.010656121537266573
anyHealthcare,0.009429148083842187
hvyAlcoholConsump,0.009310023146493002
cholCheck,0.007239632529739182
