Feature,Importance
bmi,0.18934290114484767
income,0.12933911464496603
age,0.12402002589272258
education,0.09983899043320939
highBP,0.07742801070275558
genHlth,0.06102466472969765
fruits,0.04367341491346764
smoker,0.043415845079083686
physActivity,0.038889838137245836
veggies,0.0357178444602259
sex,0.02977257521620332
diffWalk,0.02654811538283902
noDocbcCost,0.022445795029067954
stroke,0.018269758576868324
heartDiseaseorAttack,0.01737693755525221
highChol,0.016491717824427744
anyHealthcare,0.0129552433481713
hvyAlcoholConsump,0.008560331750353912
cholCheck,0.004888875178594377
