Feature,Importance
bmi,0.16687861566625609
highBP,0.13988507112194892
age,0.1181236140304958
income,0.10658280494785481
genHlth,0.09001775561820842
education,0.08317085402855731
smoker,0.039861213967978266
fruits,0.03897973680076296
physActivity,0.03279244815163105
veggies,0.031501805310038204
diffWalk,0.02694266869044463
sex,0.0264316380770101
highChol,0.020780147943759614
noDocbcCost,0.01937582608192351
heartDiseaseorAttack,0.016189878239763377
stroke,0.014957471642522776
anyHealthcare,0.011657747741753474
hvyAlcoholConsump,0.009693515027922917
cholCheck,0.0061771869111678585
