Number of Features,F1,Accuracy
1,0.3559250624947336,0.6384263639230526
2,0.4025821931503328,0.6702144433932513
3,0.40588384765238994,0.6681961526332387
4,0.4235301414041181,0.706874802901293
5,0.42090530266882975,0.7129454430778934
6,0.39005500868558196,0.7342478713339641
7,0.38166037442104855,0.7494954273099969
8,0.3633654761412076,0.7574424471775465
9,0.34811033494536986,0.7704509618416904
10,0.3346791847059396,0.7843424787133396
11,0.3249581239530988,0.7966572059287291
12,0.31825887242303275,0.8034216335540839
13,0.3074555403556772,0.8084200567644276
14,0.30089218030205844,0.810958688111006
15,0.29582566355917106,0.8130085146641438
16,0.2977501196744854,0.8149479659413434
17,0.29869037606632226,0.8159255755282245
18,0.2982890998125869,0.8169820245979187
19,0.3033295201396833,0.8175496688741721
